,symbol,name,currency,exchange,mic_code,country,type
31914,ABSSF,AirBoss of America Corp.,USD,OTC,Pink,United States,Common Stock
31928,ABTI,"Alterola Biotech, Inc.",USD,OTC,Pink,United States,Common Stock
31929,ABTO,AB&T Financial Corp. (NC),USD,OTC,Pink,United States,Common Stock
31931,ABTZY,"Aboitiz Equity Ventures, Inc.",USD,OTC,Pink,United States,American Depositary Receipt
31938,ABVG,"Affinity Beverage Group, Inc.",USD,OTC,Pink,United States,Common Stock
31940,ABVN,ABV Consulting Inc.,USD,OTC,Pink,United States,Common Stock
31944,ABWN,Airborne Wireless Network,USD,OTC,Pink,United States,Common Stock
31949,ABXXF,Abaxx Technologies Inc.,USD,OTC,Pink,United States,Common Stock
31954,ABZPF,Aboitiz Power Corp.,USD,OTC,Pink,United States,Common Stock
31955,ABZPY,Aboitiz Power Corp.,USD,OTC,Pink,United States,American Depositary Receipt
31956,ABZT,ABLAZE TECHNOLOGIES INC,USD,OTC,Pink,United States,Common Stock
31957,ABZUF,"Abzu Gold, Ltd.",USD,OTC,Grey,United States,Common Stock
31998,ACAI,Safeplus International Holdings Limited,USD,OTC,Pink,United States,Common Stock
32039,ACAN,Americann Inc.,USD,OTC,OTCQB,United States,Common Stock
32058,ACAVF,ACE Aviation Holdings Inc.,USD,OTC,Grey,United States,Common Stock
32063,ACAZF,Acadian Timber Corp,USD,OTC,Pink,United States,Common Stock
32073,ACBCQ,Albina Community Bancorp,USD,OTC,Pink,United States,Common Stock
32074,ACBD,Annabidiol Corp.,USD,OTC,Pink,United States,Common Stock
32076,ACBM,"Acro Biomedical Co., Ltd.",USD,OTC,OTCQB,United States,Common Stock
32084,ACCA,"Acacia Diversified Holdings, Inc.",USD,OTC,OTCQB,United States,Common Stock
32094,ACCFF,Accord Financial Corp.,USD,OTC,Pink,United States,Common Stock
32096,ACCMF,AAC Clyde Space AB ,USD,OTC,Pink,United States,Common Stock
32103,ACCR,Access-Power & Co Inc.,USD,OTC,Pink,United States,Common Stock
32106,ACCYY,Accor SA Ltd.,USD,OTC,Pink,United States,American Depositary Receipt
32113,ACDSF,Ascendas Real Estate Investment Trust,USD,OTC,Pink,United States,Common Stock
32114,ACDVF,Air Canada,USD,OTC,OTCQX,United States,Common Stock
32128,ACEHF,Ace Hardware Indonesia Tbk,USD,OTC,Pink,United States,Common Stock
32130,ACEJF,Acea Spar,USD,OTC,Pink,United States,Common Stock
32140,ACEYY,Acer Inc.,USD,OTC,Grey,United States,Common Stock
32143,ACFL,"AMC Financial Holdings, Inc.",USD,OTC,Pink,United States,Common Stock
32144,ACFN,"Acorn Energy, Inc.",USD,OTC,OTCQB,United States,Common Stock
32148,ACGBF,Agricultural Bank of China,USD,OTC,Pink,United States,Common Stock
32149,ACGBY,Agricultural Bank of China,USD,OTC,Pink,United States,American Depositary Receipt
32150,ACGI,"Amacore Group, Inc. (The)",USD,OTC,Pink,United States,Common Stock
32151,ACGJ,ACI Global Corp.,USD,OTC,Grey,United States,Common Stock
