,symbol,name,currency,exchange,mic_code,country,type
86,000159,"Xinjiang International Industry Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
87,000166,"Shenwan Hongyuan Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
102,000301,"Jiangsu Eastern Shenghong Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
105,000333,"Midea Group Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
106,000338,"Weichai Power Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
110,000400,"XJ Electric Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
112,000401,"Tangshan Jidong Cement Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
113,000402,"Financial Street Holdings Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
114,000403,"Pacific Shuanglin Bio-pharmacy Co., LTD",CNY,SZSE,XSHE,China,Common Stock
115,000404,"Changhong Huayi Compressor Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
116,000407,"Shandong Shengli Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
117,000408,Zangge Holding Company Limited,CNY,SZSE,XSHE,China,Common Stock
118,000409,"ShanDong Geo-Mineral Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
119,000410,"Shenyang Machine Tool Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
120,000411,"Zhejiang Int'l Group Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
121,000413,"Tunghsu Optoelectronic Technology Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
122,000415,"Bohai Leasing Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
123,000416,"Minsheng Holdings Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
124,000417,"Hefei Department Store Group Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
125,000419,"Changsha Tongcheng Holdings Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
126,000420,"Jilin Chemical Fibre Stock Co.,Ltd",CNY,SZSE,XSHE,China,Common Stock
127,000421,"Nanjing Public Utilities Development Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
128,000422,"Hubei Yihua Chemical Industry Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
129,000423,"Dong-E-E-Jiao Co.,Ltd.",CNY,SZSE,XSHE,China,Common Stock
130,000425,"XCMG Construction Machinery Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
131,000426,"Inner Mongolia Xingye Mining Co., Ltd.",CNY,SZSE,XSHE,China,Common Stock
