,symbol,name,currency,exchange,mic_code,country,type
77944,MLP,Maui Land & Pineapple Co Inc,USD,NYSE,XNYS,United States,Common Stock
77962,MLR,Miller Industries Inc-TN,USD,NYSE,XNYS,United States,Common Stock
77979,MLSS,Milestone Scientific Inc,USD,NYSE,XASE,United States,Common Stock
78045,MMC,Marsh & McLennan Cos Inc,USD,NYSE,XNYS,United States,Common Stock
78070,MMI,Marcus & Millichap Inc,USD,NYSE,XNYS,United States,Common Stock
78094,MMM,3M Co,USD,NYSE,XNYS,United States,Common Stock
78119,MMP,Magellan Midstream Partners LP,USD,NYSE,XNYS,United States,Limited Partnership
78127,MMS,MAXIMUS Inc,USD,NYSE,XNYS,United States,Common Stock
78154,MMX,Maverix Metals Inc,USD,NYSE,XASE,United States,Common Stock
78248,MNRL,Brigham Minerals Inc,USD,NYSE,XNYS,United States,Common Stock
78261,MNSO,MINISO Group Holding Ltd,USD,NYSE,XNYS,United States,American Depositary Receipt
78270,MNTN,Everest Consolidator Acquisition Corporation,USD,NYSE,XNYS,United States,Common Stock
78272,MNTN.UN,Everest Consolidator Acquisition Corporation,USD,NYSE,XNYS,United States,Unit
78299,MO,Altria Group Inc,USD,NYSE,XNYS,United States,Common Stock
78346,MOD,Modine Manufacturing Co,USD,NYSE,XNYS,United States,Common Stock
78357,MODG,Topgolf Callaway Brands Corp,USD,NYSE,XNYS,United States,Common Stock
78371,MODN,Model N Inc,USD,NYSE,XNYS,United States,Common Stock
78381,MOG.A,Moog Inc,USD,NYSE,XNYS,United States,Common Stock
78382,MOG.B,Moog Inc,USD,NYSE,XNYS,United States,Common Stock
78390,MOGU,MOGU Inc,USD,NYSE,XNYS,United States,Depositary Receipt
78391,MOH,Molina Healthcare Inc,USD,NYSE,XNYS,United States,Common Stock
78550,MOS,Mosaic Co-The,USD,NYSE,XNYS,United States,Common Stock
78580,MOV,Movado Group Inc,USD,NYSE,XNYS,United States,Common Stock
78605,MP,MP Materials Corp,USD,NYSE,XNYS,United States,Common Stock
78628,MPC,Marathon Petroleum Corp,USD,NYSE,XNYS,United States,Common Stock
78671,MPLN,MultiPlan Corporation,USD,NYSE,XNYS,United States,Common Stock
