,symbol,name,currency,exchange,mic_code,country,type
33639,AJMERA,Ajmera Realty & Infra India Limited,INR,NSE,XNSE,India,Common Stock
33643,AJOONI,Ajooni Biotech Limited,INR,NSE,XNSE,India,Common Stock
33652,AJRINFRA,AJR Infra and Tolling Limited,INR,NSE,XNSE,India,Common Stock
33685,AKASH,Akash Infra-Projects Limited,INR,NSE,XNSE,India,Common Stock
33715,AKG,AKG Exim Limited,INR,NSE,XNSE,India,Common Stock
33720,AKG.RE,AKG Exim Limited,INR,NSE,XNSE,India,Common Stock
33783,AKSHAR,Akshar Spintex Limited,INR,NSE,XNSE,India,Common Stock
33784,AKSHARCHEM,AksharChem ,INR,NSE,XNSE,India,Common Stock
33785,AKSHOPTFBR,Aksh Optifibre Limited,INR,NSE,XNSE,India,Common Stock
33822,AKZOINDIA,Akzo Nobel India Limited,INR,NSE,XNSE,India,Common Stock
33862,ALANKIT,Alankit Limited,INR,NSE,XNSE,India,Common Stock
33898,ALBERTDAVD,Albert David Limited,INR,NSE,XNSE,India,Common Stock
33941,ALCHEM,Alchemist Limited,INR,NSE,XNSE,India,Common Stock
34014,ALEMBICLTD,Alembic Limited,INR,NSE,XNSE,India,Common Stock
34124,ALICON,Alicon Castalloy Limited,INR,NSE,XNSE,India,Common Stock
34175,ALKALI,Alkali Metals Limited,INR,NSE,XNSE,India,Common Stock
34178,ALKEM,Alkem Laboratories Limited,INR,NSE,XNSE,India,Common Stock
34196,ALKYLAMINE,Alkyl Amines Chemicals Limited,INR,NSE,XNSE,India,Common Stock
34207,ALLCARGO,Allcargo Logistics Limited,INR,NSE,XNSE,India,Common Stock
34217,ALLETEC.SM,ALL E TECHNOLOGIES,INR,NSE,XNSE,India,Common Stock
34218,ALLETEC.ST,All E Technologies Ltd,INR,NSE,XNSE,India,Common Stock
34240,ALLSEC,Allsec Technologies Limited,INR,NSE,XNSE,India,Common Stock
34289,ALMONDZ,Almondz Global Securities Limited,INR,NSE,XNSE,India,Common Stock
34329,ALOKINDS,Alok Industries Limited,INR,NSE,XNSE,India,Common Stock
34343,ALPA,Alpa Laboratories Limited,INR,NSE,XNSE,India,Common Stock
34365,ALPHAGEO,Alphageo ,INR,NSE,XNSE,India,Common Stock
34393,ALPSINDUS,Alps Industries Limited,INR,NSE,XNSE,India,Common Stock
34650,AMARAJABAT,Amara Raja Batteries Limited,INR,NSE,XNSE,India,Common Stock
34682,AMBER,Amber Enterprises India Limited,INR,NSE,XNSE,India,Common Stock
34684,AMBICAAGAR,Ambica Agarbathies Aroma & Industries Limited,INR,NSE,XNSE,India,Common Stock
34687,AMBIKCO,Ambika Cotton Mills Limited,INR,NSE,XNSE,India,Common Stock
34700,AMBUJACEM,Ambuja Cements Limited,INR,NSE,XNSE,India,Common Stock
34748,AMDIND,AMD Industries Limited,INR,NSE,XNSE,India,Common Stock
34774,AMEYA.SM,AMEYA PRECISION EN,INR,NSE,XNSE,India,Common Stock
34815,AMIABLE.SM,AMIABLE LOGISTICS,INR,NSE,XNSE,India,Common Stock
34824,AMIORG,Ami Organics Limited,INR,NSE,XNSE,India,Common Stock
34831,AMJLAND,AMJ Land Holdings Limited,INR,NSE,XNSE,India,Common Stock
34948,AMRUTANJAN,Amrutanjan Health Care Limited,INR,NSE,XNSE,India,Common Stock
35061,ANANDRATHI,Anand Rathi Wealth Limited,INR,NSE,XNSE,India,Common Stock
35065,ANANTRAJ,Anant Raj Limited,INR,NSE,XNSE,India,Common Stock
35096,ANDHRACEMT,Andhra Cements Limited,INR,NSE,XNSE,India,Common Stock
35097,ANDHRAPAP,Andhra Paper Limited,INR,NSE,XNSE,India,Common Stock
35101,ANDHRSUGAR,The Andhra Sugars Limited,INR,NSE,XNSE,India,Common Stock
35109,ANDREWYU,Andrew Yule & Company Limited,INR,NSE,XNSE,India,Common Stock
35137,ANGELONE,Angel One Limited,INR,NSE,XNSE,India,Common Stock
35161,ANIKINDS,Anik Industries Limited,INR,NSE,XNSE,India,Common Stock
35180,ANKITMETAL,Ankit Metal & Power Limited,INR,NSE,XNSE,India,Common Stock
35192,ANLON.SM,ANLON TECH SOL LTD,INR,NSE,XNSE,India,Common Stock
35193,ANLON.ST,Anlon Technology Sol Ltd,INR,NSE,XNSE,India,Common Stock
35195,ANMOL,Anmol India Limited,INR,NSE,XNSE,India,Common Stock
35201,ANNAPURNA.SM,ANNAPURNA SWADISHT,INR,NSE,XNSE,India,Common Stock
35226,ANSALAPI,Ansal Properties & Infrastructure Limited,INR,NSE,XNSE,India,Common Stock
35228,ANSALHSG,Ansal Housing Limited,INR,NSE,XNSE,India,Common Stock
35248,ANTGRAPHIC,Antarctica Limited,INR,NSE,XNSE,India,Common Stock
35260,ANUP,The Anup Engineering Limited,INR,NSE,XNSE,India,Common Stock
35262,ANURAS,Anupam Rasayan India Limited,INR,NSE,XNSE,India,Common Stock
35285,ANZEN.IV,Anzen Ind Ene Yld Plu Tru,INR,NSE,XNSE,India,Common Stock
35439,APARINDS,Apar Industries Limited,INR,NSE,XNSE,India,Common Stock
35453,APCL,Anjani Portland Cement Limited,INR,NSE,XNSE,India,Common Stock
35455,APCL.RE,Anjani Portland Cem Ltd,INR,NSE,XNSE,India,Common Stock
