,symbol,name,currency,exchange,mic_code,country,type
32294,ACROW,Acrow India Limited,INR,BSE,XBOM,India,Common Stock
32301,ACRYSIL,Acrysil Limited,INR,BSE,XBOM,India,Common Stock
32328,ACTIVE,Active Clothing Co  Limited,INR,BSE,XBOM,India,Common Stock
32387,ADANIENT,Adani Enterprises Limited,INR,BSE,XBOM,India,Common Stock
32388,ADANIGREEN,Adani Green Energy Limited,INR,BSE,XBOM,India,Common Stock
32390,ADANIPORTS,Adani Ports and Special Economic Zone Limited,INR,BSE,XBOM,India,Common Stock
32393,ADANIPOWER,Adani Power Limited,INR,BSE,XBOM,India,Common Stock
32395,ADANITRANS,Adani Transmissions Limited,INR,BSE,XBOM,India,Common Stock
32397,ADARSHPL,Adarsh Plant Protect Limited,INR,BSE,XBOM,India,Common Stock
32423,ADCINDIA,ADC India Communications Limited,INR,BSE,XBOM,India,Common Stock
32426,ADCON,Adcon Capital Services Limited,INR,BSE,XBOM,India,Common Stock
32427,ADCONPP,Adcon Capital Services Limited,INR,BSE,XBOM,India,Common Stock
32428,ADCON.RE,Adcon Capital Services Limited,INR,BSE,XBOM,India,Common Stock
32444,ADDIND,Addi Industries Limited,INR,BSE,XBOM,India,Common Stock
32472,ADESHWAR,Adeshwar Meditex Limited,INR,BSE,XBOM,India,Common Stock
32480,ADFFOODS,ADF Foods Limited,INR,BSE,XBOM,India,Common Stock
32517,ADIEXRE,Adinath Exim Resources Limited,INR,BSE,XBOM,India,Common Stock
32521,ADINATH,Adinath Textiles Limited,INR,BSE,XBOM,India,Common Stock
32522,ADISHAKTI,Adishakti Loha and Ispat Limit,INR,BSE,XBOM,India,Common Stock
32523,ADITYA,Aditya Ispat Limited,INR,BSE,XBOM,India,Common Stock
32524,ADITYASP,Aditya Spinners Limited,INR,BSE,XBOM,India,Common Stock
32533,ADJIA,Adjia Technologies Limited,INR,BSE,XBOM,India,Common Stock
32539,ADL,Archidply Decor Limited,INR,BSE,XBOM,India,Common Stock
32546,ADLINE,ADLINE CHEM LAB LIMITED,INR,BSE,XBOM,India,Common Stock
32556,ADMANUM,Ad-Manum Finance Limited,INR,BSE,XBOM,India,Common Stock
32595,ADORFO,Ador Fontech Limited,INR,BSE,XBOM,India,Common Stock
32596,ADORMUL,Ador Multiproducts Limited,INR,BSE,XBOM,India,Common Stock
32597,ADORWELD,Ador Welding Limited,INR,BSE,XBOM,India,Common Stock
32624,ADROITINFO,Adroit Infotech Limited,INR,BSE,XBOM,India,Common Stock
32658,ADSL,Allied Digital Services Limited,INR,BSE,XBOM,India,Common Stock
32691,ADVAIT,Advait Infratech Limited,INR,BSE,XBOM,India,Common Stock
32695,ADVANIHOTR,Advani Hotels & Resorts ,INR,BSE,XBOM,India,Common Stock
32699,ADVENZYMES,Advanced Enzyme Technologies Limited,INR,BSE,XBOM,India,Common Stock
32701,ADVIKCA,Advik Capital Limited,INR,BSE,XBOM,India,Common Stock
32702,ADVIKLA,Advik Laboratories Limited,INR,BSE,XBOM,India,Common Stock
32703,ADVLIFE,ADVANCE LIFESTYLES LTD.,INR,BSE,XBOM,India,Common Stock
32707,ADVPETR.B,ADVANCE PETROCHEMICALS LTD.,INR,BSE,XBOM,India,Common Stock
32804,AEGISLOG,Aegis Logistics Limited,INR,BSE,XBOM,India,Common Stock
32821,AEL,Amba Enterprises Limited,INR,BSE,XBOM,India,Common Stock
32865,AEPL,Artemis Electricals and Projec,INR,BSE,XBOM,India,Common Stock
32898,AETHER,Aether Industries Limited,INR,BSE,XBOM,India,Common Stock
32955,AFEL,AF Enterprises Limited,INR,BSE,XBOM,India,Common Stock
32961,AFFLE,Affle ,INR,BSE,XBOM,India,Common Stock
32963,AFFORDABLE,Affordable Robotic & Automatio,INR,BSE,XBOM,India,Common Stock
33107,AGARIND,Agarwal Industrial Corporation Limited,INR,BSE,XBOM,India,Common Stock
33109,AGARWAL,AGARWAL FORTUNE INDIA LIMITED,INR,BSE,XBOM,India,Common Stock
33181,AGI,AGI GREENPAC LIMITED,INR,BSE,XBOM,India,Common Stock
33184,AGIIL,AGI Infra Limited,INR,BSE,XBOM,India,Common Stock
33192,AGIOPAPER,Agio Paper & Industries Limited,INR,BSE,XBOM,India,Common Stock
33246,AGOL,Ashapuri Gold Ornament Limited,INR,BSE,XBOM,India,Common Stock
33268,AGRITECH,Agri-tech ,INR,BSE,XBOM,India,Common Stock
33294,AGSTRA,AGS TRANSACT TECHNOLOGIES LIMI,INR,BSE,XBOM,India,Common Stock
33382,AHL,Abans Holdings Limited,INR,BSE,XBOM,India,Common Stock
33393,AHLEAST,Asian Hotels ,INR,BSE,XBOM,India,Common Stock
33395,AHLUCONT,Ahluwalia Contracts ,INR,BSE,XBOM,India,Common Stock
33398,AHMDSTE,Ahmedabad Steelcraft Limited,INR,BSE,XBOM,India,Common Stock
33469,AIAENG,AIA Engineering Limited,INR,BSE,XBOM,India,Common Stock
33481,AICHAMP,AI Champdany Industries Limited,INR,BSE,XBOM,India,Common Stock
33513,AIIL,Authum Investment & Infrastructure Limited,INR,BSE,XBOM,India,Common Stock
33546,AIMCOPEST,Aimco Pesticides Limited,INR,BSE,XBOM,India,Common Stock
33555,AIML,Alliance Integrated Metaliks Limited,INR,BSE,XBOM,India,Common Stock
33564,AINFRA,A Infrastructure Limited,INR,BSE,XBOM,India,Common Stock
33626,AIRTELPP,Bharti Airtel  Ltd.,INR,BSE,XBOM,India,Common Stock
33637,AISHWARYA,Aishwarya Technologies and Telecom Limited,INR,BSE,XBOM,India,Common Stock
33687,AJANTPHARM,Ajanta Pharma Limited,INR,BSE,XBOM,India,Common Stock
33689,AJANTSOY,Ajanta Soya Limited,INR,BSE,XBOM,India,Common Stock
33696,AJCON,Ajcon Global Services Limited,INR,BSE,XBOM,India,Common Stock
33697,AJEL,Ajel Limited,INR,BSE,XBOM,India,Common Stock
33703,AJIL,Atlas Jewellery India Limited,INR,BSE,XBOM,India,Common Stock
33710,AJMERA,Ajmera Realty & Infra India Limited,INR,BSE,XBOM,India,Common Stock
33724,AJRINFRA,AJR INFRA AND TOLLING LIMITED,INR,BSE,XBOM,India,Common Stock
33727,AJWAFUN,AJWA FUN WORLD & RESORT LTD.,INR,BSE,XBOM,India,Common Stock
33757,AKASHDEEP,Akashdeep Metal Industries Limited,INR,BSE,XBOM,India,Common Stock
33774,AKCAPIT,A. K. Capital Services Limited,INR,BSE,XBOM,India,Common Stock
33799,AKI,AKI India Limited,INR,BSE,XBOM,India,Common Stock
33811,AKM,AKM Lace and Embrotex Limited,INR,BSE,XBOM,India,Common Stock
33851,AKSCHEM,AksharChem ,INR,BSE,XBOM,India,Common Stock
33855,AKSHAR,Akshar Spintex Limited,INR,BSE,XBOM,India,Common Stock
33857,AKSHOPTFBR,Aksh Optifibre Limited,INR,BSE,XBOM,India,Common Stock
33863,AKSPINTEX,A.K. Spintex Limited,INR,BSE,XBOM,India,Common Stock
33894,AKZOINDIA,Akzo Nobel India Limited,INR,BSE,XBOM,India,Common Stock
33933,ALANKIT,Alankit Limited,INR,BSE,XBOM,India,Common Stock
33935,ALANSCOTT,Alan Scott Industries Ltd.,INR,BSE,XBOM,India,Common Stock
33969,ALBERTDA,Albert David Limited,INR,BSE,XBOM,India,Common Stock
34012,ALCHCORP,Alchemist Corporation Limited,INR,BSE,XBOM,India,Common Stock
34085,ALEMBICLTD,Alembic Limited,INR,BSE,XBOM,India,Common Stock
34108,ALEXANDER,Alexander Stamps and Coin Limited,INR,BSE,XBOM,India,Common Stock
34114,ALFAICA,Alfa Ica ,INR,BSE,XBOM,India,Common Stock
34116,ALFATRAN,Alfa Transformers Limited,INR,BSE,XBOM,India,Common Stock
34117,ALFAVIO,Alfavision Overseas ,INR,BSE,XBOM,India,Common Stock
34123,ALFL,Abhinav Leasing and Finance Limited,INR,BSE,XBOM,India,Common Stock
34129,ALFREDHE,Alfred Herbert ,INR,BSE,XBOM,India,Common Stock
34197,ALICON,Alicon Castalloy Limited,INR,BSE,XBOM,India,Common Stock
34247,ALKALI,Alkali Metals Limited,INR,BSE,XBOM,India,Common Stock
34250,ALKEM,Alkem Laboratories Limited,INR,BSE,XBOM,India,Common Stock
34265,ALKOSIGN,ALKOSIGN LIMITED,INR,BSE,XBOM,India,Common Stock
34268,ALKYLAMINE,Alkyl Amines Chemicals Limited,INR,BSE,XBOM,India,Common Stock
34280,ALLCARGO,Allcargo Logistics Limited,INR,BSE,XBOM,India,Common Stock
